platform_key,platform_label,section,command,description,type
openssl,OpenSSL,Encryption & Hashing,openssl base64 -in file.bin -out file.b64,Base64-encode a binary file to a text file,show
openssl,OpenSSL,Encryption & Hashing,openssl base64 -d -in file.b64 -out file.bin,Base64-decode a text file back to binary,show
openssl,OpenSSL,Encryption & Hashing,openssl enc -aes-256-cbc -salt -pbkdf2 -in file.txt -out file.enc,Encrypt a file using AES-256-CBC with a password,show
openssl,OpenSSL,Encryption & Hashing,openssl enc -d -aes-256-cbc -pbkdf2 -in file.enc -out file.txt,Decrypt an AES-256-CBC encrypted file using a password,show
openssl,OpenSSL,Encryption & Hashing,openssl dgst -sha512 file.txt,Compute the SHA-512 digest of a file,show
openssl,OpenSSL,Encryption & Hashing,openssl dgst -md5 file.txt,Compute the MD5 digest of a file (legacy use only — not for security),show
openssl,OpenSSL,Certificates,openssl x509 -in <cert> -text -noout,Displays certificate details,show
openssl,OpenSSL,Certificates,openssl x509 -in <cert> -issuer -noout,Shows certificate issuer,show
openssl,OpenSSL,Certificates,openssl x509 -in <cert> -subject -noout,Shows certificate subject,show
openssl,OpenSSL,Certificates,openssl x509 -in <cert> -dates -noout,Shows certificate validity dates,show
openssl,OpenSSL,Certificates,openssl x509 -in <cert> -fingerprint -noout,Shows certificate fingerprint,show
openssl,OpenSSL,Certificates,openssl verify -CAfile <ca.pem> <cert>,Verifies certificate chain,show
openssl,OpenSSL,Certificates,openssl pkcs12 -in <pfx> -nodes,Extracts keys and certs from PFX,show
openssl,OpenSSL,Certificates,openssl pkcs12 -export -out <pfx> -inkey <key> -in <cert>,Creates PFX file,show
openssl,OpenSSL,Certificates,openssl req -new -key <key> -out <csr>,Generates CSR,show
openssl,OpenSSL,Certificates,openssl req -newkey rsa:2048 -nodes -keyout <key> -out <csr>,Generates key + CSR,show
openssl,OpenSSL,Keys,openssl genrsa -out <key> 2048,Generates RSA key,show
openssl,OpenSSL,Keys,openssl genpkey -algorithm RSA -out <key>,Generates RSA key (modern),show
openssl,OpenSSL,Keys,openssl genpkey -algorithm EC -pkeyopt ec_paramgen_curve:P-256 -out <key>,Generates EC key,show
openssl,OpenSSL,Keys,openssl rsa -in <key> -check,Checks RSA key integrity,show
openssl,OpenSSL,Keys,openssl rsa -in <key> -pubout -out <pubkey>,Extracts public key,show
openssl,OpenSSL,Keys,openssl pkey -in <key> -pubout,Extracts public key (generic),show
openssl,OpenSSL,Keys,openssl pkey -in <key> -text -noout,Shows key details,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443>,Tests SSL/TLS connection,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -servername <sni>,Tests SSL/TLS with SNI,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -tls1_2,Forces TLS 1.2,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -tls1_3,Forces TLS 1.3,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -showcerts,Shows full certificate chain,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -status,Requests OCSP stapling,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -cipher <cipher>,Tests specific cipher,show
openssl,OpenSSL,SSL/TLS,openssl s_client -connect <host:443> -curves <curve>,Tests specific EC curve,show
openssl,OpenSSL,SSL/TLS,openssl s_time -connect <host:443>,Measures handshake performance,show
openssl,OpenSSL,SSL/TLS,openssl ciphers -v,Lists supported ciphers,show
openssl,OpenSSL,Hashing,openssl dgst -sha256 <file>,Computes SHA?256 hash,show
openssl,OpenSSL,Hashing,openssl dgst -sha1 <file>,Computes SHA?1 hash,show
openssl,OpenSSL,Hashing,openssl dgst -md5 <file>,Computes MD5 hash,show
openssl,OpenSSL,Hashing,openssl dgst -sha512 <file>,Computes SHA?512 hash,show
openssl,OpenSSL,Hashing,openssl dgst -r -sha256 <file>,Outputs hash in reversed format,show
openssl,OpenSSL,Encoding,openssl base64 -in <file> -out <out>,Encodes file in Base64,show
openssl,OpenSSL,Encoding,openssl base64 -d -in <file> -out <out>,Decodes Base64,show
openssl,OpenSSL,Encoding,openssl enc -aes-256-cbc -salt -in <file> -out <enc>,Encrypts file with AES?256,show
openssl,OpenSSL,Encoding,openssl enc -aes-256-cbc -d -in <enc> -out <file>,Decrypts AES?256 file,show
openssl,OpenSSL,Encoding,openssl rand -hex 32,Generates 32?byte hex string,show
cisco,Cisco IOS Switch,Show & Status,show version,"IOS version, uptime, hardware model, memory, flash storage",show
cisco,Cisco IOS Switch,Show & Status,show running-config,Display the current active running configuration,show
cisco,Cisco IOS Switch,Show & Status,show startup-config,Display the saved startup configuration from NVRAM,show
cisco,Cisco IOS Switch,Show & Status,show interfaces,Status and statistics for all interfaces,show
cisco,Cisco IOS Switch,Show & Status,show interfaces status,"Concise table: connected state, VLAN assignment, speed, duplex",show
cisco,Cisco IOS Switch,Show & Status,show ip interface brief,"Summary of all interfaces: IP, method, status, protocol state",show
cisco,Cisco IOS Switch,Show & Status,show ip route,"Full routing table: connected, static, and dynamic routes",show
cisco,Cisco IOS Switch,Show & Status,show arp,ARP cache: IP to MAC address mappings and age,show
cisco,Cisco IOS Switch,Show & Status,show mac address-table,"MAC address table: learned addresses, VLANs, and ports",show
cisco,Cisco IOS Switch,Show & Status,show vlan brief,"Condensed VLAN summary: IDs, names, status, and assigned ports",show
cisco,Cisco IOS Switch,Show & Status,show spanning-tree,"STP state for all VLANs: root bridge, port states, timers",show
cisco,Cisco IOS Switch,Show & Status,show spanning-tree vlan <id>,STP state for a specific VLAN,show
cisco,Cisco IOS Switch,Show & Status,show cdp neighbors,Cisco Discovery Protocol neighbours summary,show
cisco,Cisco IOS Switch,Show & Status,show cdp neighbors detail,Detailed CDP neighbour info including platform and IP addresses,show
cisco,Cisco IOS Switch,Show & Status,show lldp neighbors,LLDP neighbours summary,show
cisco,Cisco IOS Switch,Show & Status,show etherchannel summary,Port-channel/EtherChannel group status and member ports,show
cisco,Cisco IOS Switch,Show & Status,show ip ospf neighbor,OSPF neighbour adjacency table and states,show
cisco,Cisco IOS Switch,Show & Status,show ip bgp summary,BGP peer summary: neighbour state and prefixes received,show
cisco,Cisco IOS Switch,Show & Status,show processes cpu,CPU utilisation sorted by process,show
cisco,Cisco IOS Switch,Show & Status,show processes memory,Memory utilisation sorted by process,show
cisco,Cisco IOS Switch,Show & Status,show environment all,"Fan, temperature, and power supply status",show
cisco,Cisco IOS Switch,Show & Status,show inventory,"Hardware inventory: chassis, modules, SFPs with PID and serial numbers",show
cisco,Cisco IOS Switch,Show & Status,show platform tcam utilization,"Shows TCAM (hardware table) utilisation for ACLs, routes, MACs",show
cisco,Cisco IOS Switch,VLAN Configuration,vlan <id>,Creates a VLAN and enters VLAN config mode,show
cisco,Cisco IOS Switch,VLAN Configuration,name <vlan-name>,Assigns a name to the current VLAN,show
cisco,Cisco IOS Switch,VLAN Configuration,no vlan <id>,Deletes the specified VLAN,show
cisco,Cisco IOS Switch,VLAN Configuration,interface vlan <id>,Creates or enters the SVI (Switched Virtual Interface) for a VLAN,show
cisco,Cisco IOS Switch,VLAN Configuration,ip address <ip> <mask>,Assigns an IP to a VLAN SVI for Layer 3 routing,show
cisco,Cisco IOS Switch,VLAN Configuration,no shutdown,Brings the interface or SVI up administratively,show
cisco,Cisco IOS Switch,VLAN Configuration,shutdown,Administratively shuts down the interface or SVI,show
cisco,Cisco IOS Switch,VLAN Configuration,show vlan id <id>,"Detailed info for a specific VLAN: ports, state, and MTI",show
cisco,Cisco IOS Switch,Interface Configuration,interface <type> <number>,Enters config mode for a specific interface e.g. GigabitEthernet0/1,show
cisco,Cisco IOS Switch,Interface Configuration,interface range <type> <start> - <end>,Configure multiple interfaces simultaneously,show
cisco,Cisco IOS Switch,Interface Configuration,description <text>,Adds a human-readable description to the interface,show
cisco,Cisco IOS Switch,Interface Configuration,switchport mode access,"Sets the port as an access port (untagged, single VLAN)",show
cisco,Cisco IOS Switch,Interface Configuration,switchport access vlan <id>,Assigns the access port to a specific VLAN,show
cisco,Cisco IOS Switch,Interface Configuration,switchport mode trunk,Sets the port as a trunk (carries multiple tagged VLANs),show
cisco,Cisco IOS Switch,Interface Configuration,switchport trunk allowed vlan <vlan-list>,Specifies which VLANs are permitted on this trunk port,show
cisco,Cisco IOS Switch,Interface Configuration,switchport trunk native vlan <id>,Sets the native (untagged) VLAN on a trunk port,show
cisco,Cisco IOS Switch,Interface Configuration,switchport nonegotiate,Disables DTP (Dynamic Trunking Protocol) negotiation on the port,show
cisco,Cisco IOS Switch,Interface Configuration,speed <10|100|1000|auto>,Manually sets the interface speed in Mbps,show
cisco,Cisco IOS Switch,Interface Configuration,duplex <full|half|auto>,Manually sets the interface duplex mode,show
cisco,Cisco IOS Switch,Interface Configuration,spanning-tree portfast,Enables PortFast — bypasses STP listening and learning states,show
cisco,Cisco IOS Switch,Interface Configuration,spanning-tree bpduguard enable,Enables BPDU Guard — error-disables port if a BPDU is received,show
cisco,Cisco IOS Switch,Interface Configuration,storm-control broadcast level <percent>,Limits broadcast traffic to a percentage of total bandwidth,show
cisco,Cisco IOS Switch,Interface Configuration,mtu <bytes>,Sets the interface MTU — use 9216 for jumbo frames,show
cisco,Cisco IOS Switch,Interface Configuration,carrier-delay msec 0,Disables interface carrier delay for faster convergence on link changes,show
cisco,Cisco IOS Switch,Routing,ip routing,Enables IP routing globally on a Layer 3 switch,show
cisco,Cisco IOS Switch,Routing,ip route <network> <mask> <nexthop>,Adds a static route via a specific next-hop IP,show
cisco,Cisco IOS Switch,Routing,ip route 0.0.0.0 0.0.0.0 <gateway>,Configures the default route (gateway of last resort),show
cisco,Cisco IOS Switch,Routing,no ip route <network> <mask> <nexthop>,Removes a specific static route,show
cisco,Cisco IOS Switch,Routing,router ospf <process-id>,Enters OSPF routing process configuration mode,show
cisco,Cisco IOS Switch,Routing,network <ip> <wildcard> area <area-id>,Advertises a network prefix into OSPF,show
cisco,Cisco IOS Switch,Routing,passive-interface <interface>,Suppresses OSPF hellos on an interface while still advertising it,show
cisco,Cisco IOS Switch,Routing,router bgp <asn>,Enters BGP routing process configuration mode,show
cisco,Cisco IOS Switch,Routing,neighbor <ip> remote-as <asn>,Defines a BGP peer by IP and remote AS number,show
cisco,Cisco IOS Switch,Routing,ip helper-address <server-ip>,Enables DHCP relay — forwards broadcasts to the specified server,show
cisco,Cisco IOS Switch,Routing,ip pim sparse-mode,Enables PIM Sparse Mode on the interface for multicast routing,show
cisco,Cisco IOS Switch,Routing,ip multicast-routing,Enables multicast routing globally on the switch,show
cisco,Cisco IOS Switch,EtherChannel,interface port-channel <id>,Creates a logical port-channel (LAG) interface,show
cisco,Cisco IOS Switch,EtherChannel,channel-group <id> mode active,Assigns the interface to an EtherChannel using LACP active mode,show
cisco,Cisco IOS Switch,EtherChannel,channel-group <id> mode on,Assigns the interface to a static EtherChannel (no LACP/PAgP),show
cisco,Cisco IOS Switch,EtherChannel,channel-group <id> mode desirable,Assigns the interface using PAgP desirable mode,show
cisco,Cisco IOS Switch,EtherChannel,show etherchannel <id> summary,Summary status and port membership for a specific EtherChannel,show
cisco,Cisco IOS Switch,EtherChannel,lacp port-priority <value>,Sets LACP port priority — lower value is preferred,show
cisco,Cisco IOS Switch,EtherChannel,lacp system-priority <value>,Sets the LACP system priority for this switch,show
cisco,Cisco IOS Switch,Security,switchport port-security,Enables port security on the interface,show
cisco,Cisco IOS Switch,Security,switchport port-security maximum <count>,Sets the maximum number of MAC addresses allowed on the port,show
cisco,Cisco IOS Switch,Security,switchport port-security violation <protect|restrict|shutdown>,Sets the action taken when a port security violation occurs,show
cisco,Cisco IOS Switch,Security,switchport port-security mac-address sticky,Enables sticky learning — dynamic MACs become static entries,show
cisco,Cisco IOS Switch,Security,ip dhcp snooping,Enables DHCP snooping globally on the switch,show
cisco,Cisco IOS Switch,Security,ip dhcp snooping vlan <id>,Enables DHCP snooping for a specific VLAN,show
cisco,Cisco IOS Switch,Security,ip dhcp snooping trust,Marks the interface as a trusted DHCP snooping port,show
cisco,Cisco IOS Switch,Security,ip arp inspection vlan <id>,Enables Dynamic ARP Inspection (DAI) for a specific VLAN,show
cisco,Cisco IOS Switch,Security,ip arp inspection trust,Marks the interface as trusted for ARP inspection,show
cisco,Cisco IOS Switch,Security,spanning-tree guard root,Enables Root Guard to prevent unauthorised root bridge election,show
cisco,Cisco IOS Switch,Security,ip access-list extended <name>,Creates a named extended ACL,show
cisco,Cisco IOS Switch,Security,ip access-group <acl-name> in,Applies an ACL to the interface in the inbound direction,show
cisco,Cisco IOS Switch,Security,ip access-group <acl-name> out,Applies an ACL to the interface in the outbound direction,show
cisco,Cisco IOS Switch,Security,shutdown vlan <id>,Shuts down a VLAN globally across the switch without deleting it,show
cisco,Cisco IOS Switch,Security,login block-for <secs> attempts <n> within <secs>,Blocks login attempts after N failures — brute-force protection,show
cisco,Cisco IOS Switch,QoS,mls qos,Enables MLS QoS globally on the switch (required on older IOS),show
cisco,Cisco IOS Switch,QoS,mls qos trust dscp,Trusts incoming DSCP markings on the interface,show
cisco,Cisco IOS Switch,QoS,mls qos trust cos,Trusts incoming 802.1p CoS markings on the interface,show
cisco,Cisco IOS Switch,QoS,mls qos map cos-dscp <values>,Maps 802.1p CoS values to DSCP values,show
cisco,Cisco IOS Switch,QoS,policy-map <name>,Creates a policy map for QoS classification and marking,show
cisco,Cisco IOS Switch,QoS,class <class-map-name>,Enters a class within a policy map,show
cisco,Cisco IOS Switch,QoS,set dscp <value>,Sets the DSCP value for traffic matching this class,show
cisco,Cisco IOS Switch,QoS,bandwidth percent <value>,Allocates a percentage of bandwidth to this class queue,show
cisco,Cisco IOS Switch,QoS,priority percent <value>,Configures a strict priority queue for low-latency traffic,show
cisco,Cisco IOS Switch,QoS,service-policy input <policy-name>,Applies a QoS policy map to the interface in the inbound direction,show
cisco,Cisco IOS Switch,QoS,service-policy output <policy-name>,Applies a QoS policy map to the interface in the outbound direction,show
cisco,Cisco IOS Switch,QoS,show policy-map interface <interface>,Shows QoS statistics per class for a specific interface,show
cisco,Cisco IOS Switch,DHCP Server,ip dhcp pool <name>,Creates a DHCP pool and enters DHCP config mode,show
cisco,Cisco IOS Switch,DHCP Server,network <ip> <mask>,Specifies the subnet to serve DHCP addresses from,show
cisco,Cisco IOS Switch,DHCP Server,default-router <ip>,Sets the default gateway advertised to DHCP clients,show
cisco,Cisco IOS Switch,DHCP Server,dns-server <ip1> <ip2>,Sets up to two DNS servers advertised to DHCP clients,show
cisco,Cisco IOS Switch,DHCP Server,lease <days> <hours> <mins>,Sets the DHCP lease duration,show
cisco,Cisco IOS Switch,DHCP Server,ip dhcp excluded-address <start> <end>,Reserves a range of IPs that DHCP will never assign,show
cisco,Cisco IOS Switch,DHCP Server,show ip dhcp binding,"Shows all active DHCP leases: MAC, IP, and expiry time",show
cisco,Cisco IOS Switch,DHCP Server,show ip dhcp pool,Displays DHCP pool configuration and usage statistics,show
cisco,Cisco IOS Switch,DHCP Server,show ip dhcp conflict,Lists IPs that caused address conflicts detected via ping,show
cisco,Cisco IOS Switch,DHCP Server,clear ip dhcp binding *,Clears all active DHCP leases — use with caution on production,show
cisco,Cisco IOS Switch,NTP,ntp server <ip>,Configures an NTP server for clock synchronisation,show
cisco,Cisco IOS Switch,NTP,ntp server <ip> prefer,Marks an NTP server as preferred,show
cisco,Cisco IOS Switch,NTP,ntp authenticate,Enables NTP authentication (must also configure keys),show
cisco,Cisco IOS Switch,NTP,ntp authentication-key <id> md5 <key>,Creates an NTP authentication key,show
cisco,Cisco IOS Switch,NTP,ntp trusted-key <id>,Marks an NTP key as trusted for peer authentication,show
cisco,Cisco IOS Switch,NTP,ntp source <interface>,Sets the source interface for NTP packets,show
cisco,Cisco IOS Switch,NTP,show ntp status,"Displays NTP sync state, stratum, reference server, and clock offset",show
cisco,Cisco IOS Switch,NTP,show ntp associations,Lists all configured NTP peers and their sync status,show
cisco,Cisco IOS Switch,NTP,clock timezone GMT 0,Sets the system timezone,show
cisco,Cisco IOS Switch,NTP,clock set <hh:mm:ss> <day> <month> <year>,Manually sets the hardware clock — use only when NTP is unavailable,show
cisco,Cisco IOS Switch,Config Management,copy running-config startup-config,Saves running config to NVRAM — persists across reboots,show
cisco,Cisco IOS Switch,Config Management,write memory,Saves the running config to startup config (alias for copy run start),show
cisco,Cisco IOS Switch,Config Management,write erase,Erases the startup config — factory reset takes effect on next reload,show
cisco,Cisco IOS Switch,Config Management,reload,Reboots the switch and loads the startup configuration,show
cisco,Cisco IOS Switch,Config Management,reload in <minutes>,Schedules an automatic reload after the specified number of minutes,show
cisco,Cisco IOS Switch,Config Management,reload cancel,Cancels a previously scheduled reload,show
cisco,Cisco IOS Switch,Config Management,copy running-config tftp:,Backs up the running config to a TFTP server,show
cisco,Cisco IOS Switch,Config Management,copy tftp: running-config,Restores a config from a TFTP server into running config,show
cisco,Cisco IOS Switch,Config Management,archive log config,Enables configuration change logging to the archive,show
cisco,Cisco IOS Switch,Config Management,show archive log config all,Displays the full history of configuration changes with timestamps and user,show
cisco,Cisco IOS Switch,Diagnostics,ping <ip>,ICMP ping test sourced from the switch management IP,show
cisco,Cisco IOS Switch,Diagnostics,ping <ip> source <interface>,Ping sourced from a specific interface or IP address,show
cisco,Cisco IOS Switch,Diagnostics,traceroute <ip>,Traces the network path hop-by-hop to a destination IP,show
cisco,Cisco IOS Switch,Diagnostics,undebug all,Disables all active debug sessions immediately,show
cisco,Cisco IOS Switch,Diagnostics,terminal monitor,Sends syslog and debug output to the current SSH or Telnet session,show
cisco,Cisco IOS Switch,Diagnostics,show logging,Displays the contents of the syslog buffer,show
cisco,Cisco IOS Switch,Diagnostics,show ip dhcp snooping binding,"Shows the DHCP snooping binding table: MAC, IP, VLAN, port",show
cisco,Cisco IOS Switch,Diagnostics,clear arp-cache,Clears all entries from the ARP table,show
cisco,Cisco IOS Switch,Diagnostics,clear mac address-table dynamic,Clears all dynamically learned MAC address entries,show
cisco,Cisco IOS Switch,Diagnostics,show interface <name> counters errors,"Shows error counters for an interface: CRC, runts, giants, input/output errors",show
cisco,Cisco IOS Switch,Diagnostics,test cable-diagnostics tdr interface <name>,Runs TDR cable diagnostics to detect cable faults and measure length,show
wlc,Cisco IOS-XE WLC,Show & Status,show version,"IOS-XE version, uptime, hardware model, and installed packages",show
wlc,Cisco IOS-XE WLC,Show & Status,show running-config,Full current running configuration,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless summary,"High-level wireless summary: total APs, clients, and WLANs",show
wlc,Cisco IOS-XE WLC,Show & Status,show ap summary,"All joined APs: name, model, operational state, IP, and mode",show
wlc,Cisco IOS-XE WLC,Show & Status,show ap dot11 24ghz summary,"All 2.4GHz radios: channel, transmit power, and client count",show
wlc,Cisco IOS-XE WLC,Show & Status,show ap dot11 5ghz summary,"All 5GHz radios: channel, transmit power, and client count",show
wlc,Cisco IOS-XE WLC,Show & Status,show ap dot11 6ghz summary,"All 6GHz radios (Wi-Fi 6E): channel, power, and client count",show
wlc,Cisco IOS-XE WLC,Show & Status,show ap name <ap-name> config general,Full configuration detail for a specific AP by name,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless client summary,Summary of all currently associated wireless clients,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless client detail mac-address <mac>,"Full detail for a specific client: IP, VLAN, AP, RSSI, SNR",show
wlc,Cisco IOS-XE WLC,Show & Status,show wlan summary,"All configured WLANs: ID, name, operational status, security type",show
wlc,Cisco IOS-XE WLC,Show & Status,show wlan id <id>,Detailed configuration for a specific WLAN by numeric ID,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless tag site summary,Summary of all configured site tags and their AP profiles,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless tag policy summary,Summary of all configured policy tags,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless profile policy summary,Summary of all wireless policy profiles,show
wlc,Cisco IOS-XE WLC,Show & Status,show ap uptime,Shows uptime for all joined APs — useful for detecting unexpected reboots,show
wlc,Cisco IOS-XE WLC,Show & Status,show wireless stats ap join summary,"AP join statistics: total joins, failures, and reason codes",show
wlc,Cisco IOS-XE WLC,AP Management,ap name <old-name> name <new-name>,Renames an AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> location <location>,Sets the location string for an AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> controller primary <name> <ip>,Sets the primary WLC for a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> reset,Reboots a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> shutdown,Administratively shuts down a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> no shutdown,Brings a shutdown AP back online,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 24ghz channel <channel>,Manually assigns a 2.4GHz channel to a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 5ghz channel <channel>,Manually assigns a 5GHz channel to a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 24ghz txpower <level>,Manually sets 2.4GHz transmit power level on a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 5ghz txpower <level>,Manually sets 5GHz transmit power level on a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 24ghz shutdown,Shuts down only the 2.4GHz radio on a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> dot11 5ghz shutdown,Shuts down only the 5GHz radio on a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> mode local,Sets AP to local mode — all traffic tunnelled back to the WLC,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> mode flexconnect,Sets AP to FlexConnect mode — local switching is possible,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> mode monitor,"Sets AP to monitor mode — passive scanning, no client associations",show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> tag site <site-tag>,Assigns a site tag to a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> tag policy <policy-tag>,Assigns a policy tag to a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> tag rf <rf-tag>,Assigns an RF tag to a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> led disable,Disables the LED indicator on a specific AP,show
wlc,Cisco IOS-XE WLC,AP Management,ap name <ap-name> priority <1-4>,Sets the AP join priority — lower number means higher priority,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid>,"Creates a WLAN with the given profile name, numeric ID, and SSID",show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> security wpa wpa2 ciphers aes,Configures WPA2-AES security on a WLAN,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> security wpa psk set-key ascii 0 <passphrase>,Sets a WPA2-PSK passphrase on a WLAN,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> security dot1x,Configures 802.1X (WPA2-Enterprise) authentication on a WLAN,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <id> shutdown,Administratively disables (brings down) a WLAN by ID,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,no wlan <id> shutdown,Administratively enables a WLAN by ID,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> broadcast-ssid,Enables SSID broadcast so the network is visible to scanning clients,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> no broadcast-ssid,Hides the SSID from beacon frames (closed network),show
wlc,Cisco IOS-XE WLC,WLAN Configuration,no wlan <id>,Deletes a WLAN configuration by its numeric ID,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> security wpa3 sae,Configures WPA3 SAE (Simultaneous Authentication of Equals) on the WLAN,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> band-select,Enables 802.11 band steering to prefer 5GHz for dual-band clients,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> ccx aironet-iesupport,Enables Cisco Compatible Extensions for Aironet IE support,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <name> <id> <ssid> dtim dot11 24ghz <value>,Sets the DTIM interval for 2.4GHz — affects power save client wake behaviour,show
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <WLAN-NAME> <WLAN-ID> <SSID> - create WLAN,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no shutdown - enable WLAN,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,shutdown - disable WLAN,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,ssid <SSID> - set SSID name,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,description <TEXT> - set WLAN description,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,policy <POLICY-PROFILE> - bind WLAN to policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no policy <POLICY-PROFILE> - unbind WLAN from policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa psk set-key ascii <PASSWORD> - configure WPA2 PSK,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa akm psk - enable PSK AKM,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa akm dot1x - enable 802.1X AKM,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security dot1x authentication-list <AAA-LIST> - bind AAA list for 802.1X,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa akm sae - enable WPA3 SAE,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa sae password <PASSWORD> - configure SAE password,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa wpa3 - enable WPA3 mode,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security wpa akm suite-b-192 - enable Suite‑B 192‑bit mode,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no security wpa - disable WPA,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no security wpa akm - disable all AKMs,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no security dot1x - disable 802.1X,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,security mac-filtering list <ACL> - enable MAC filtering,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,wireless profile policy <PROFILE> - create policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,vlan <VLAN-ID> - assign VLAN,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no vlan <VLAN-ID> - remove VLAN,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,no shutdown - enable policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,shutdown - disable policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,session-timeout <SECONDS> - set session timeout,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,idle-timeout <SECONDS> - set idle timeout,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,input-policy <POLICY-MAP> - apply input QoS policy,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,output-policy <POLICY-MAP> - apply output QoS policy,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,wlan <WLAN-NAME> - bind WLAN to policy profile,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,aaa-override - allow AAA override,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,accounting-list <AAA-LIST> - set accounting list,,config
wlc,Cisco IOS-XE WLC,WLAN Configuration,authentication-list <AAA-LIST> - set authentication list,,config
